"project_id","name","address"
14638429,"Kleinräumige und großräumige Variabilität des Tiefseebenthos im Abyssal des Levantinischen Beckens (östliches Mittelmeer)","Freie Universität Berlin"
14741559,"Mechanismen und Beeinflussung der Barriereschichtbildung zum Flammschutz von Polymer/Schichtsilikat-Nanokompositen am Beispiel von Expoxidharzen","Bundesanstalt für Materialforschung und -prüfung (BAM)"
14741559,"Mechanismen und Beeinflussung der Barriereschichtbildung zum Flammschutz von Polymer/Schichtsilikat-Nanokompositen am Beispiel von Expoxidharzen","Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM)"
14741559,"Mechanismen und Beeinflussung der Barriereschichtbildung zum Flammschutz von Polymer/Schichtsilikat-Nanokompositen am Beispiel von Expoxidharzen","Universität Bremen"
14741730,"Das Verbraucherinsolvenzverfahren - ein funktionierendes Hilfesystem gegen Exklusion aus dem Wirtschaftssystem?","Technische Universität Chemnitz"
14741730,"Das Verbraucherinsolvenzverfahren - ein funktionierendes Hilfesystem gegen Exklusion aus dem Wirtschaftssystem?","Universität Rostock"
14865921,"Neuronaler T3 transport und Interneuronentwicklung (A07)","Charité - Universitätsmedizin Berlin"
14865921,"Neuronaler T3 transport und Interneuronentwicklung (A07)","Rheinische Friedrich-Wilhelms-Universität Bonn"
14866011,"Funktionen von Neuregulin im Nervensystem (B01)","Max-Delbrück-Centrum für Molekulare Medizin (MDC) Berlin-Buch"
14883842,"Die Rolle von Gap junction protein alpha 12 (Connexin 46.6) bei der Myelinisierung des Zentralnervensystems (B07)","Charité - Universitätsmedizin Berlin"
14883842,"Die Rolle von Gap junction protein alpha 12 (Connexin 46.6) bei der Myelinisierung des Zentralnervensystems (B07)","Max-Delbrück-Centrum für Molekulare Medizin (MDC) Berlin-Buch"
14884057,"Herstellung genetisch veränderter Mäuse (C01)","Max-Delbrück-Centrum für Molekulare Medizin (MDC) Berlin-Buch"
14884057,"Herstellung genetisch veränderter Mäuse (C01)","Charité - Universitätsmedizin Berlin"
14884157,"Zentrales Verwaltungsprojekt (C03)","Charité - Universitätsmedizin Berlin"
14884157,"Zentrales Verwaltungsprojekt (C03)","Freie Universität Berlin"
14884157,"Zentrales Verwaltungsprojekt (C03)","Johannes Gutenberg-Universität Mainz"
14986651,"Störungen raum-zeitlicher Integrationsleistungen in visuellen Suchaufgaben bei Patienten mit fronto-parietalen Läsionen","Universitätsklinikum Jena"
14986651,"Störungen raum-zeitlicher Integrationsleistungen in visuellen Suchaufgaben bei Patienten mit fronto-parietalen Läsionen","Ludwig-Maximilians-Universität München"
14986651,"Störungen raum-zeitlicher Integrationsleistungen in visuellen Suchaufgaben bei Patienten mit fronto-parietalen Läsionen","Universität des Saarlandes"
15028252,"Einfluss der Kornform von Feinststoffen auf die Packungsdichte und das rheologische Verhalten von UHPC","Universität Kassel"
15028252,"Einfluss der Kornform von Feinststoffen auf die Packungsdichte und das rheologische Verhalten von UHPC","Technische Universität Berlin"
15029011,"Strategien räumlicher Orientierung: neuroanatomische und elektrokortikale Grundlagen ego- und allozentrischer Referenzsysteme","Technische Universität Berlin"
15029011,"Strategien räumlicher Orientierung: neuroanatomische und elektrokortikale Grundlagen ego- und allozentrischer Referenzsysteme","Bernstein-Center for Computational Neuroscience"
15029011,"Strategien räumlicher Orientierung: neuroanatomische und elektrokortikale Grundlagen ego- und allozentrischer Referenzsysteme","Klinikum der Universität München"
15048089,"Combined Cognitive-Behavioral and Pharmacological Continuation and Maintenance Treatment of Recurrent Depression","Eberhard-Karls-Universität Tübingen"
15048089,"Combined Cognitive-Behavioral and Pharmacological Continuation and Maintenance Treatment of Recurrent Depression","Goethe-Universität Frankfurt am Main"
15048089,"Combined Cognitive-Behavioral and Pharmacological Continuation and Maintenance Treatment of Recurrent Depression","Hochschule Esslingen"
15048089,"Combined Cognitive-Behavioral and Pharmacological Continuation and Maintenance Treatment of Recurrent Depression","Am Großen Gleichberg 2"
15048089,"Combined Cognitive-Behavioral and Pharmacological Continuation and Maintenance Treatment of Recurrent Depression","Universitätsklinikum Erlangen AöR"
15049301,"Entwicklung eines computergestützten Analysesystems zur sonographischen Quantifizierung der Struktur und Morphologie des Intima-Media Komplexes der Ateria carotis communis in Ultraschallsequenzen","Universitätsklinikum Freiburg"
15049301,"Entwicklung eines computergestützten Analysesystems zur sonographischen Quantifizierung der Struktur und Morphologie des Intima-Media Komplexes der Ateria carotis communis in Ultraschallsequenzen","Universitätsklinikum Tübingen"
